Date / Time,City,State,Shape,Duration,Summary,Posted,Type
2/18/20 05:25,Eugene,OR,Light,15,"Symetrical line of lights moving southwest to northeast. ((""Starlink"" satellites??))",2/25/20,Sighting
2/18/20 05:20,Wilderville,OR,Unknown,~ 5 minutes,"multiple pinpoint lights (satellite type) emanating every 2-3 seconds from one point. ((""Starlink"" satellites??))",2/25/20,Sighting
2/18/20 05:15,Oak bluffs,MA,Light,1,15+ UFOs seen flying slowly East to west in a straight line. 15 were counted .,2/25/20,Sighting
2/18/20 05:15,Los Angeles,CA,Circle,~10 minutes,"Three dim objects moving in the same direction at different times. ((""Starlink"" satellites??))",2/25/20,Sighting
2/18/20 05:08,Medford,OR,Oval,8-10 minutes,"4 light cross sky lead light fade away back light fade in another light , happen 37 times. ((""Starlink"" satellites??))",2/25/20,Sighting
2/18/20 05:00,Grants Pass,OR,Light,15 minutes,Stream of moving lights in the sky just north of Grants Pass,2/25/20,Sighting
2/18/20 04:15,Everett,WA,Other,5 minutes,hyway 9 to Granite Falls Wa,2/25/20,Sighting
2/17/20 21:55,Prescott Valley,AZ,Disk,2 minutes,"Saucer-shaped object with blinking, rotating lights sighted in Prescott Valley. Vanished after minute or so.",2/25/20,Sighting
2/17/20 21:55,Prescott Valley,AZ,Oval,30 seconds,Oval object with white blinking rotating lights. After 30 seconds it veered and vanished.,2/25/20,Sighting
2/17/20 21:35,Yonkers,NY,Cigar,20 seconds,Straight Line of Lights disappears and reappears while zig zagging across the sky,2/25/20,Sighting
2/17/20 21:17,NORTON,MA,Disk,30 minutes,"Two clusters of white lights, with red lights very nearby",2/25/20,Sighting
2/17/20 21:05,Barbourville,KY,Sphere,5 seconds,There was a light around it,2/25/20,Sighting
2/17/20 20:50,Oklahoma City,OK,Sphere,~1 minute,Red sphere moving north to south over Oklahoma City 2/17/20,2/25/20,Sighting
2/17/20 20:40,Roanoke,VA,Unknown,10:40,Two blinking objects connect and then fly away together,2/25/20,Sighting
2/17/20 20:30,Kailua-Kona,HI,Disk,80 seconds,Paper thin disk at least a few miles in length seen over Kona side ran inside to get my friend for an object this size not man made,2/25/20,Sighting
2/17/20 20:14,High Point,NC,Fireball,3 seconds,Bright light spotted in High Point NC over lake.,2/25/20,Sighting
2/17/20 20:00,Bay Shore,NY,Circle,20 minutes,Was taking my evening walk and noticed a great deal of air traffic all over the sky. One pulsating circle captured my attention as it w,2/25/20,Sighting
2/17/20 19:55,Port Hueneme,CA,Circle,20 minutes,My first actual sighting of something that cant be explained that was not on a tv show or in a video game.,2/25/20,Sighting
2/17/20 19:53,Forest Grove,OR,Circle,13 seconds,Went to get food for me and my coworker at 19:20. Upon returning I saw a white light with a blue hue and a smaller green orb attached p,2/25/20,Sighting
2/17/20 19:52,portland,OR,Sphere,6 seconds,Orb moved from south to north parallel to bridge approximately 100-150 yards away at a relatively slow speed before speeding away,2/25/20,Sighting
2/17/20 19:45,Bowling Green,TX,Light,15,"Multiple “Satellites” Following Same Path in Sky. ((""Starlink"" satellites??))",2/25/20,Sighting
2/17/20 19:30,Selden,NY,Diamond,20 minutes,Looked like north star and another object flying around it that was green it would stay a certain distant from it eventually the green,2/25/20,Sighting
2/17/20 19:15,"Wailea, Maui",HI,Formation,1 minute,"String of Lights over Maui. ((""Starlink"" satellites??))",2/25/20,Sighting
2/17/20 18:50,Woodbury,CT,Light,20 minutes,Low flying lights sighted performing strange maneuvers across a year time frame (still active),2/25/20,Sighting
2/17/20 15:14,Las Vegas,NV,Circle,10 minutes,"I'm a commercial pilot and advance ground instructor. I've had and filmed many UFO's over the years, this is my first report and I will",2/25/20,Sighting
2/17/20 08:30,Morehead,KY,Disk,5 seconds,It was your typical flying saucer shape with many many bright lights so many lights it look like a city,2/25/20,Sighting
2/17/20 05:55,Erda,UT,Light,3-4 minutes,"12+ non blinking lights equally spaced, appearing out of the same place, out of nowhere. ((""Starlink"" satellites??))",2/25/20,Sighting
