Date / Time,City,State,Shape,Duration,Summary,Posted,Type,text,Lat,Lng
2/17/20 21:17,NORTON,MA,Disk,30 minutes,"Two clusters of white lights, with red lights very nearby",2/25/20,Sighting,Sighting : NORTON,41.9667703,-71.1869963
2/17/20 21:05,Barbourville,KY,Sphere,5 seconds,There was a light around it,2/25/20,Sighting,Sighting : Barbourville,36.8664765,-83.8888138
2/17/20 20:50,Oklahoma City,OK,Sphere,~1 minute,Red sphere moving north to south over Oklahoma City 2/17/20,2/25/20,Sighting,Sighting : Oklahoma City,35.4675602,-97.5164276
2/17/20 20:40,Roanoke,VA,Unknown,10:40,Two blinking objects connect and then fly away together,2/25/20,Sighting,Sighting : Roanoke,37.2709704,-79.9414266
2/17/20 20:30,Kailua-Kona,HI,Disk,80 seconds,Paper thin disk at least a few miles in length seen over Kona side ran inside to get my friend for an object this size not man made,2/25/20,Sighting,Sighting : Kailua-Kona,19.639994,-155.9969261
2/17/20 20:14,High Point,NC,Fireball,3 seconds,Bright light spotted in High Point NC over lake.,2/25/20,Sighting,Sighting : High Point,35.9556923,-80.0053176
2/17/20 20:00,Bay Shore,NY,Circle,20 minutes,Was taking my evening walk and noticed a great deal of air traffic all over the sky. One pulsating circle captured my attention as it w,2/25/20,Sighting,Sighting : Bay Shore,40.7250986,-73.2453946
2/17/20 19:55,Port Hueneme,CA,Circle,20 minutes,My first actual sighting of something that cant be explained that was not on a tv show or in a video game.,2/25/20,Sighting,Sighting : Port Hueneme,34.1477829,-119.1951074
2/17/20 19:53,Forest Grove,OR,Circle,13 seconds,Went to get food for me and my coworker at 19:20. Upon returning I saw a white light with a blue hue and a smaller green orb attached p,2/25/20,Sighting,Sighting : Forest Grove,45.526998,-123.1211134
2/17/20 19:52,portland,OR,Sphere,6 seconds,Orb moved from south to north parallel to bridge approximately 100-150 yards away at a relatively slow speed before speeding away,2/25/20,Sighting,Sighting : portland,45.5051064,-122.6750261
2/17/20 19:45,Bowling Green,TX,Light,15,"Multiple “Satellites” Following Same Path in Sky. ((""Starlink"" satellites??))",2/25/20,Sighting,Sighting : Bowling Green,36.9685219,-86.4808043
2/17/20 19:30,Selden,NY,Diamond,20 minutes,Looked like north star and another object flying around it that was green it would stay a certain distant from it eventually the green,2/25/20,Sighting,Sighting : Selden,40.8664873,-73.0356625
2/17/20 19:15,"Wailea, Maui",HI,Formation,1 minute,"String of Lights over Maui. ((""Starlink"" satellites??))",2/25/20,Sighting,"Sighting : Wailea, Maui",20.6871826,-156.4391668
2/17/20 18:50,Woodbury,CT,Light,20 minutes,Low flying lights sighted performing strange maneuvers across a year time frame (still active),2/25/20,Sighting,Sighting : Woodbury,41.5445404,-73.2090025
2/17/20 15:14,Las Vegas,NV,Circle,10 minutes,"I'm a commercial pilot and advance ground instructor. I've had and filmed many UFO's over the years, this is my first report and I will",2/25/20,Sighting,Sighting : Las Vegas,36.1699412,-115.1398296
2/17/20 08:30,Morehead,KY,Disk,5 seconds,It was your typical flying saucer shape with many many bright lights so many lights it look like a city,2/25/20,Sighting,Sighting : Morehead,38.1839705,-83.4326841
2/17/20 05:55,Erda,UT,Light,3-4 minutes,"12+ non blinking lights equally spaced, appearing out of the same place, out of nowhere. ((""Starlink"" satellites??))",2/25/20,Sighting,Sighting : Erda,40.6127217,-112.3043923
2/17/20 05:50,Wanship,UT,,10 minutes,"20 or more lights, evenly spaced, traveling quickly, straight line heading Northeast, no sound. Upper atmosphere or higher.",2/25/20,Sighting,Sighting : Wanship,40.8118925,-111.4074184
2/17/20 05:25,Akron,OH,Light,3 minutes,Green UFO making directional changes,2/25/20,Sighting,Sighting : Akron,41.0814447,-81.51900529999999
2/17/20 05:20,Modesto,CA,Light,>15 seconds,2 stationary bright star-like white lights seen in a pair that then faded simultaneously in about 15 seconds.,2/25/20,Sighting,Sighting : Modesto,37.6392595,-120.9970014
2/17/20 02:00,Columbus,OH,Cylinder,8 seconds,I was driving west on Steele ave and the green Cylinder shape growing light came from went shooting across the sky right in front of me,2/25/20,Sighting,Sighting : Columbus,39.9611755,-82.99879419999999
2/17/20 01:30,St. Maries,ID,Unknown,Ongoing,Light changing from bright white to orange as if the source is rotating. The white light is very intense and lights up the entire area.,2/25/20,Sighting,Sighting : St. Maries,47.3143541,-116.5626675
2/17/20 01:28,Overland,MO,Diamond,5 seconds,One bright green flash shooting across the sky.,2/25/20,Sighting,Sighting : Overland,38.7011626,-90.3623381
2/17/20 01:18,Moreno Valley,CA,Triangle,1 minute,Traingle ufo with lights spotted in moreno valley,2/25/20,Sighting,Sighting : Moreno Valley,33.9424658,-117.2296717
2/16/20 23:00,Athelstane,WI,Sphere,2 hours,"Noticed bright light in sky,moving left to right,then stationary,looked through binoculars & looked like a round sphere,red, blue,green",2/25/20,Sighting,Sighting : Athelstane,45.4238558,-88.09538990000001
2/16/20 22:30,Avon,IN,Other,2-3 seconds,Large blue flash coming from the sky,2/25/20,Sighting,Sighting : Avon,39.7628227,-86.3997167
2/16/20 22:30,Starkville,MS,Light,2 seconds,"Bright dot shot to the middle of the sky, stopped for 2 seconds and Shit away in a completely different direction",2/25/20,Sighting,Sighting : Starkville,33.4503998,-88.81838719999999
2/16/20 21:06,Big Pine Key,FL,Fireball,4-5 seconds,02/16/20 Streak of red light lasting about 4 sec off the East coast of Big Pine Key FL at 9:06 PM,2/25/20,Sighting,Sighting : Big Pine Key,24.6698652,-81.35396899999999
2/16/20 20:15,Waxahachie,TX,Formation,20 seconds,V-formation of 20 of low-flying elongated arrowhead shaped objects,2/25/20,Sighting,Sighting : Waxahachie,32.3865312,-96.8483311
